target_chembl_id,pref_name
CHEMBL3717,Hepatocyte growth factor receptor
CHEMBL3778,Interleukin-1 receptor-associated kinase 4
CHEMBL3788,Serine/threonine-protein kinase PLK4
CHEMBL3797,Serine-protein kinase ATM
CHEMBL3829,Calcium/calmodulin-dependent protein kinase type II subunit gamma
CHEMBL3830,AP2-associated protein kinase 1
CHEMBL3831,Serine/threonine-protein kinase MARK2
CHEMBL3834,Cytoplasmic tyrosine-protein kinase BMX
CHEMBL3835,Serine/threonine-protein kinase Nek2
CHEMBL3836,LIM domain kinase 1
CHEMBL3861,"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 2, mitochondrial"
CHEMBL3863,Serine/threonine-protein kinase D1
CHEMBL3886,Mitogen-activated protein kinase kinase kinase 20
CHEMBL3905,Tyrosine-protein kinase Lyn
CHEMBL3906,Ribosomal protein S6 kinase alpha-2
CHEMBL3920,Protein kinase C theta type
CHEMBL3935,Aurora kinase C
CHEMBL3938,Serine/threonine-protein kinase 16
CHEMBL3961,Mitogen-activated protein kinase 11
CHEMBL3973,Fibroblast growth factor receptor 4
CHEMBL3980,Serine/threonine-protein kinase 17B
CHEMBL3981,Serine/threonine-protein kinase 10
CHEMBL3982,Tyrosine-protein kinase Fer
CHEMBL3983,Dual specificity protein kinase TTK
CHEMBL3984,Membrane-associated tyrosine- and threonine-specific cdc2-inhibitory kinase
CHEMBL3987,Ephrin type-A receptor 5
CHEMBL3988,Ephrin type-A receptor 4
CHEMBL4004,"Phosphorylase b kinase gamma catalytic chain, skeletal muscle/heart isoform"
CHEMBL4014,Tyrosine-protein kinase ABL2
CHEMBL4036,Cyclin-dependent kinase 5
CHEMBL4040,Mitogen-activated protein kinase 1
CHEMBL4045,5'-AMP-activated protein kinase catalytic subunit alpha-1
CHEMBL4070,Casein kinase II subunit alpha'
CHEMBL4079,Beta-adrenergic receptor kinase 1
CHEMBL4101,cAMP-dependent protein kinase catalytic subunit alpha
CHEMBL4121,Calcium/calmodulin-dependent protein kinase type II subunit beta
