"ChEMBL ID"	"Name"	"Accessions"	"Type"	"Organism"	"Compounds"	"Activities"	"Tax ID"	"Species Group Flag"
"CHEMBL2431"	"RAC-beta serine/threonine-protein kinase"	"P31751"	"SINGLE PROTEIN"	"Homo sapiens"	"3418"	"5912"	"9606"	"False"
"CHEMBL5024"	"Serine/threonine-protein kinase ATR"	"Q13535"	"SINGLE PROTEIN"	"Homo sapiens"	"2762"	"13907"	"9606"	"False"
"CHEMBL2208"	"MAP kinase-activated protein kinase 2"	"P49137"	"SINGLE PROTEIN"	"Homo sapiens"	"3925"	"6114"	"9606"	"False"
"CHEMBL4439"	"TGF-beta receptor type-1"	"P36897"	"SINGLE PROTEIN"	"Homo sapiens"	"3734"	"10681"	"9606"	"False"
"CHEMBL308"	"Cyclin-dependent kinase 1"	"P06493"	"SINGLE PROTEIN"	"Homo sapiens"	"3348"	"4536"	"9606"	"False"
"CHEMBL1955"	"Vascular endothelial growth factor receptor 3"	"P35916"	"SINGLE PROTEIN"	"Homo sapiens"	"2423"	"3443"	"9606"	"False"
"CHEMBL3094"	"MAP kinase-activated protein kinase 5"	"Q8IW41"	"SINGLE PROTEIN"	"Homo sapiens"	"2089"	"3016"	"9606"	"False"
"CHEMBL1075104"	"Leucine-rich repeat serine/threonine-protein kinase 2"	"Q5S007"	"SINGLE PROTEIN"	"Homo sapiens"	"5366"	"18142"	"9606"	"False"
"CHEMBL2345"	"Ribosomal protein S6 kinase alpha-3"	"P51812"	"SINGLE PROTEIN"	"Homo sapiens"	"2943"	"4687"	"9606"	"False"
"CHEMBL1908382"	"Serine/threonine-protein kinase PRP4 homolog"	"Q13523"	"SINGLE PROTEIN"	"Homo sapiens"	"289"	"348"	"9606"	"False"
"CHEMBL2349"	"Phosphorylase b kinase gamma catalytic chain, liver/testis isoform"	"P15735"	"SINGLE PROTEIN"	"Homo sapiens"	"1599"	"2410"	"9606"	"False"
"CHEMBL2417353"	"Serine/threonine-protein kinase Nek8"	"Q86SG6"	"SINGLE PROTEIN"	"Homo sapiens"	"46"	"67"	"9606"	"False"
"CHEMBL4224"	"Dual specificity protein kinase CLK1"	"P49759"	"SINGLE PROTEIN"	"Homo sapiens"	"2085"	"2913"	"9606"	"False"
"CHEMBL2553"	"Ribosomal protein S6 kinase alpha-1"	"Q15418"	"SINGLE PROTEIN"	"Homo sapiens"	"1825"	"3281"	"9606"	"False"
"CHEMBL5579"	"Citron Rho-interacting kinase"	"O14578"	"SINGLE PROTEIN"	"Homo sapiens"	"575"	"720"	"9606"	"False"
"CHEMBL6082"	"Serine/threonine-protein kinase SIK1"	"P57059"	"SINGLE PROTEIN"	"Homo sapiens"	"997"	"1648"	"9606"	"False"
"CHEMBL4849"	"Serine/threonine-protein kinase Nek7"	"Q8TDX7"	"SINGLE PROTEIN"	"Homo sapiens"	"1187"	"2081"	"9606"	"False"
"CHEMBL4375"	"SRSF protein kinase 1"	"Q96SB4"	"SINGLE PROTEIN"	"Homo sapiens"	"1880"	"3083"	"9606"	"False"
"CHEMBL5888"	"Mitogen-activated protein kinase kinase kinase 14"	"Q99558"	"SINGLE PROTEIN"	"Homo sapiens"	"1658"	"3230"	"9606"	"False"
"CHEMBL5861"	"G protein-coupled receptor kinase 4"	"P32298"	"SINGLE PROTEIN"	"Homo sapiens"	"331"	"373"	"9606"	"False"
"CHEMBL4627"	"Myosin light chain kinase"	"Q32MK0"	"SINGLE PROTEIN"	"Homo sapiens"	"450"	"524"	"9606"	"False"
"CHEMBL5819"	"Serine/threonine-protein kinase Nek4"	"P51957"	"SINGLE PROTEIN"	"Homo sapiens"	"983"	"1067"	"9606"	"False"
"CHEMBL5415"	"SRSF protein kinase 3"	"Q9UPE1"	"SINGLE PROTEIN"	"Homo sapiens"	"955"	"1574"	"9606"	"False"
"CHEMBL4896"	"Lymphokine-activated killer T-cell-originated protein kinase"	"Q96KB5"	"SINGLE PROTEIN"	"Homo sapiens"	"978"	"1028"	"9606"	"False"
"CHEMBL2801"	"Calcium/calmodulin-dependent protein kinase type II subunit delta"	"Q13557"	"SINGLE PROTEIN"	"Homo sapiens"	"2027"	"2968"	"9606"	"False"
"CHEMBL4442"	"Cyclin-dependent kinase 3"	"Q00526"	"SINGLE PROTEIN"	"Homo sapiens"	"495"	"628"	"9606"	"False"
