molecule_chembl_id,canonical_smiles
CHEMBL102426,CN(C(=O)Cc1ccccc1)[C@@H]1CC[C@]2(CCCO2)C[C@H]1N1CCCC1
CHEMBL103421,CCN1CCOCCN(CC)CCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCOCC1
CHEMBL103055,CCN1CCOCCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCOCC1
CHEMBL105477,CN1CCOCCN(C)CCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CC1
CHEMBL103506,CCN1CCOCCOCCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CC1
CHEMBL102217,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3ccc(CP(=O)(O)CP(=O)(O)O)cc3)nc21
CHEMBL102801,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3ccc(OCC(=O)O)c(P(=O)(O)O)c3)nc21
CHEMBL102936,CS(=O)(=O)Nc1ccc(-c2ccc3c(NC(=O)C4CC4)n[nH]c3c2)cc1
CHEMBL104067,COc1cc2ncnc(N3CCN(C(=O)Nc4ccc(C(C)C)cc4)CC3)c2cc1OC
CHEMBL102529,CC(C)(C)c1ccc(-c2cc(=O)cc(N3CCOCC3)o2)cc1
CHEMBL104682,Cc1ccc(-c2ccc(-c3cc(=O)cc(N4CCOCC4)s3)cc2)c2ccccc12
CHEMBL105256,COc1ccccc1-c1cc(=O)cc(N2CCOCC2)o1
CHEMBL104468,O=c1cc(N2CCOCC2)oc2c1ccc1ccccc12
CHEMBL105678,O=c1cc(-c2ccc(-c3cccc4ccccc34)cc2)sc(N2CCOCC2)c1
CHEMBL101801,NC(=O)c1ccc(Nc2nc(N)c(N=O)c(OCC3CCCCC3)n2)cc1
CHEMBL105436,COc1cccc(-c2cn(-c3ccc(CCN(C)CCO)cc3)c3ncnc(N)c23)c1
CHEMBL105457,C[C@H]1OC[C@@H](C[N+](C)(C)C)O1
CHEMBL105802,O=C(c1cccc2[nH]ccc12)N1CCN(Cc2ccccc2)CC1
CHEMBL102581,O=c1cc(-c2ccc(-c3csc4ccccc34)cc2)sc(N2CCOCC2)c1
CHEMBL102396,CC(C)(C)c1ccc(-c2cc(=O)cc(N3CCOCC3)s2)cc1
CHEMBL105082,COc1cc2[nH]ccc2cc1C(=O)N1C[C@H](C)N(Cc2ccccc2)C[C@H]1C
CHEMBL104644,O=c1cc(-c2cccc(-c3cccc(O)c3)c2)sc(N2CCOCC2)c1
CHEMBL106120,COc1cc2[nH]ccc2cc1C(=O)N1C[C@@H](C)N(Cc2ccccc2)C[C@@H]1C
CHEMBL106118,C[C@@H]1CN(Cc2ccccc2)[C@@H](C)CN1C(=O)c1ccc2[nH]ccc2c1
CHEMBL105521,O=c1cc(-c2ccc(F)cc2)oc(N2CCOCC2)c1
CHEMBL105612,O=c1cc(-c2ccc(Cl)cc2)oc(N2CCOCC2)c1
CHEMBL105613,O=c1cc(-c2ccccc2)oc(N2CCOCC2)c1
CHEMBL104255,COc1cc(O)c(C(=O)/C=C/c2ccccc2)c(OC)c1
CHEMBL105248,CC(C)c1cc(NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)n(-c2ccccc2)n1
CHEMBL105310,O=C(/C=C/c1ccccc1)c1ccc(O)cc1O
CHEMBL104749,Cn1nc(C(C)(C)C)cc1NC(=O)Nc1ccc(OCCN2CCOCC2)c2ccccc12
CHEMBL104119,O=C(Nc1ccc(OCCN2CCOCC2)c2ccccc12)Nc1ccnn1-c1ccccc1
CHEMBL105421,COc1ccc2c(c1)c(CC1C(=O)Nc3ccc(S(N)(=O)=O)cc31)cn2C
CHEMBL104279,Cn1cc(/C=C2\C(=O)Nc3ccc(S(N)(=O)=O)cc32)c2ccccc21
CHEMBL104333,COc1ccc2c(c1)c(/C=C1\C(=O)Nc3ccc(S(N)(=O)=O)cc31)cn2C
CHEMBL106226,COc1ccc2[nH]cc(/C=C3\C(=O)Nc4ccc(S(N)(=O)=O)cc43)c2c1
CHEMBL104519,CNS(=O)(=O)c1ccc2c(c1)/C(=C/c1cn(C)c3ccc(OC)cc13)C(=O)N2
CHEMBL104409,O=C1Nc2ccc(NC(=O)c3ccccc3)cc2/C1=C/c1ccc[nH]1
CHEMBL106213,COc1cc2c(cc1NCCN(C)C)nc(Nc1c(C)cccc1Cl)c1cnc(C)n12
CHEMBL103005,Cc1cc(Nc2ncnc3cnc(NCCN4CCOCC4)cc23)ccc1Oc1ccc(C(=O)NCC(C)(C)C)cc1
CHEMBL107,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2
CHEMBL108,NC(=O)N1c2ccccc2C=Cc2ccccc21
CHEMBL1071,O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1
CHEMBL106384,CN1CCOCCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCN(C)CC1
CHEMBL106442,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3cccc(P(=O)(O)CP(=O)(O)O)c3)nc21
CHEMBL106966,COc1cc2ncnc(N3CCN(C(=O)Nc4ccc(C#N)cc4)CC3)c2cc1OC
CHEMBL106328,COc1cc2[nH]ccc2cc1C(=O)N1CCN(Cc2ccccc2)CC1
CHEMBL106543,COc1cccc(-c2cc(=O)cc(N3CCOCC3)o2)c1
CHEMBL107131,COc1cc(OC)c2c(c1)OC(c1ccccc1)CC2=O
CHEMBL107225,O=C1Nc2ccc(C(=O)O)cc2/C1=C/c1ccc[nH]1
CHEMBL106265,Cn1c(=O)c2nc(C3CCCC3)[nH]c2n(C)c1=O
CHEMBL106772,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3ccc(N4CCOCC4)cc3)nc21
CHEMBL106482,CCNc1ccc2nc(Nc3c(C)cccc3Cl)c3cncn3c2c1
CHEMBL106654,Cc1cccc(Cl)c1Nc1nc2ccc(NCCN3CCOCC3)cc2n2cncc12
CHEMBL106822,Cc1cccc(Cl)c1Nc1nc2cc(N3CCNCC3)ccc2n2cncc12
CHEMBL107048,CCN1CCN(c2ccc3nc(Nc4c(C)cccc4Cl)c4cncn4c3c2)CC1
CHEMBL106378,COc1cccc2nc(Nc3c(C)cccc3Cl)c3cncn3c12
CHEMBL107826,O=[N+]([O-])c1ccc2nc(Nc3c(Cl)cccc3Cl)c3cncn3c2c1
CHEMBL106304,Cc1cccc(C)c1Nc1nc2cccc(N)c2n2cncc12
CHEMBL107183,Cc1cccc(Cl)c1Nc1nc2cccc(OCc3ccccc3)c2n2cncc12
CHEMBL106457,COc1cc2c(cc1OCCN1CCOCC1)nc(Nc1c(C)cccc1Cl)c1cncn12
CHEMBL1079523,N#Cc1ccc2ncn(-c3ncc4[nH]c(=O)n(Cc5c(F)cccc5F)c4n3)c2c1
CHEMBL1079524,N#Cc1ccc2ncn(-c3ncc4[nH]c(=O)n(Cc5c(Cl)cccc5Cl)c4n3)c2c1
CHEMBL1079525,O=c1[nH]c2cnc(-n3cnc4ccccc43)nc2n1C1CCOc2ccccc21
CHEMBL1079526,O=c1[nH]c2cnc(-n3cnc4ccccc43)nc2n1C1CCOc2cccc(F)c21
CHEMBL1076206,CC(=O)N1C[C@@H]2C[C@H]1CN2c1ccc(-c2ccnc3c(-c4ccc(F)c(O)c4)c(-c4ccncc4)nn23)cc1
CHEMBL1076204,CN1CCN(c2ccc(-c3cnn4c(-c5cc(NC(=O)c6cccc(C(F)(F)F)c6)ccc5F)ccnc34)cn2)CC1
CHEMBL1076221,O=c1[nH]c2cnc(-n3cnc4ccccc43)nc2n1C1CCOc2ccc(Cl)cc21
CHEMBL1080110,O=c1[nH]c2cnc(-n3cnc4ccccc43)nc2n1C1CCOc2cc(F)ccc21
CHEMBL1080111,O=c1[nH]c2cnc(-n3cnc4ccccc43)nc2n1C1CCOc2c(F)cccc21
CHEMBL1079785,COc1cc(-c2c(-c3ccncc3)nn3c(-c4ccc(N5C[C@@H]6C[C@H]5CN6)cc4)ccnc23)ccc1F
