ChEMBL ID,Name,Accessions,Type,Organism,Compounds,Activities
CHEMBL1906,RAF proto-oncogene serine/threonine-protein kinase,P04049,SINGLE PROTEIN,Homo sapiens,5327,16104
CHEMBL260,Mitogen-activated protein kinase 14,Q16539,SINGLE PROTEIN,Homo sapiens,9153,16324
CHEMBL1841,Tyrosine-protein kinase Fyn,P06241,SINGLE PROTEIN,Homo sapiens,4368,11093
CHEMBL4225,Dual specificity protein kinase CLK2,P49760,SINGLE PROTEIN,Homo sapiens,3371,4487
CHEMBL2148,Tyrosine-protein kinase JAK3,P52333,SINGLE PROTEIN,Homo sapiens,11618,34068
CHEMBL2850,Glycogen synthase kinase-3 alpha,P49840,SINGLE PROTEIN,Homo sapiens,3707,7801
CHEMBL5608,NT-3 growth factor receptor,Q16288,SINGLE PROTEIN,Homo sapiens,2039,2767
CHEMBL2973,Rho-associated protein kinase 2,O75116,SINGLE PROTEIN,Homo sapiens,8452,20159
CHEMBL5275,Bone morphogenetic protein receptor type-1A,P36894,SINGLE PROTEIN,Homo sapiens,875,2147
CHEMBL2815,High affinity nerve growth factor receptor,P04629,SINGLE PROTEIN,Homo sapiens,8686,26516
CHEMBL5310,Activin receptor type-1B,P36896,SINGLE PROTEIN,Homo sapiens,956,1888
CHEMBL2964,Dual specificity mitogen-activated protein kinase kinase 2,P36507,SINGLE PROTEIN,Homo sapiens,1084,1431
CHEMBL5606,Serine/threonine-protein kinase STK11,Q15831,SINGLE PROTEIN,Homo sapiens,784,1134
CHEMBL5518,Misshapen-like kinase 1,Q8N4C8,SINGLE PROTEIN,Homo sapiens,1760,2498
CHEMBL2634,Tyrosine-protein kinase CSK,P41240,SINGLE PROTEIN,Homo sapiens,1658,2652
CHEMBL5084,Casein kinase I isoform gamma-3,Q9Y6M4,SINGLE PROTEIN,Homo sapiens,1703,2511
CHEMBL2558,Death-associated protein kinase 1,P53355,SINGLE PROTEIN,Homo sapiens,1097,1785
CHEMBL2803,Tyrosine-protein kinase ZAP-70,P43403,SINGLE PROTEIN,Homo sapiens,1619,2379
CHEMBL5026,Eukaryotic elongation factor 2 kinase,O00418,SINGLE PROTEIN,Homo sapiens,1070,1493
CHEMBL2793,Casein kinase I isoform alpha,P48729,SINGLE PROTEIN,Homo sapiens,2132,2823
CHEMBL3529,Inhibitor of nuclear factor kappa-B kinase subunit epsilon,Q14164,SINGLE PROTEIN,Homo sapiens,2175,3801
CHEMBL4309,Serine/threonine-protein kinase Nek6,Q9HC98,SINGLE PROTEIN,Homo sapiens,1286,2134
CHEMBL4179,Mitogen-activated protein kinase 9,P45984,SINGLE PROTEIN,Homo sapiens,3891,5530
CHEMBL5568,Proto-oncogene tyrosine-protein kinase ROS,P08922,SINGLE PROTEIN,Homo sapiens,1772,2966
CHEMBL2872,Mitogen-activated protein kinase kinase kinase 9,P80192,SINGLE PROTEIN,Homo sapiens,786,1101
CHEMBL3234,Tyrosine-protein kinase HCK,P08631,SINGLE PROTEIN,Homo sapiens,1785,3249
CHEMBL4895,Tyrosine-protein kinase receptor UFO,P30530,SINGLE PROTEIN,Homo sapiens,5083,13019
CHEMBL258,Tyrosine-protein kinase Lck,P06239,SINGLE PROTEIN,Homo sapiens,6886,11854
CHEMBL331,Cyclin-dependent kinase 4,P11802,SINGLE PROTEIN,Homo sapiens,2438,4376
CHEMBL299,Protein kinase C alpha type,P17252,SINGLE PROTEIN,Homo sapiens,4076,6223
CHEMBL4598,Serine/threonine-protein kinase 4,Q13043,SINGLE PROTEIN,Homo sapiens,1828,3790
CHEMBL2695,Focal adhesion kinase 1,Q05397,SINGLE PROTEIN,Homo sapiens,4190,6272
CHEMBL4247,ALK tyrosine kinase receptor,Q9UM73,SINGLE PROTEIN,Homo sapiens,4521,9751
CHEMBL3863,Serine/threonine-protein kinase D1,Q15139,SINGLE PROTEIN,Homo sapiens,1250,2080
CHEMBL5818,cAMP-dependent protein kinase catalytic subunit PRKX,P51817,SINGLE PROTEIN,Homo sapiens,1677,2373
CHEMBL2343,Serine/threonine-protein kinase Sgk1,O00141,SINGLE PROTEIN,Homo sapiens,2149,4418
CHEMBL3831,Serine/threonine-protein kinase MARK2,Q7KZI7,SINGLE PROTEIN,Homo sapiens,1847,2751
CHEMBL3476,Inhibitor of nuclear factor kappa-B kinase subunit alpha,O15111,SINGLE PROTEIN,Homo sapiens,1940,3426
CHEMBL5784,NUAK family SNF1-like kinase 1,O60285,SINGLE PROTEIN,Homo sapiens,1207,1913
CHEMBL4901,Ephrin type-B receptor 3,P54753,SINGLE PROTEIN,Homo sapiens,1279,2046
CHEMBL3982,Tyrosine-protein kinase Fer,P16591,SINGLE PROTEIN,Homo sapiens,1682,2550
CHEMBL2742,Fibroblast growth factor receptor 3,P22607,SINGLE PROTEIN,Homo sapiens,6362,16788
CHEMBL3045,Protein kinase C beta type,P05771,SINGLE PROTEIN,Homo sapiens,2012,4535
CHEMBL4501,Ribosomal protein S6 kinase beta-1,P23443,SINGLE PROTEIN,Homo sapiens,3803,5957
CHEMBL4898,BDNF/NT-3 growth factors receptor,Q16620,SINGLE PROTEIN,Homo sapiens,2630,4290
CHEMBL4816,RAC-gamma serine/threonine-protein kinase,Q9Y243,SINGLE PROTEIN,Homo sapiens,2350,3314
CHEMBL1957,Insulin-like growth factor 1 receptor,P08069,SINGLE PROTEIN,Homo sapiens,5791,8978
CHEMBL3024,Serine/threonine-protein kinase PLK1,P53350,SINGLE PROTEIN,Homo sapiens,27354,29080
CHEMBL2041,Proto-oncogene tyrosine-protein kinase receptor Ret,P07949,SINGLE PROTEIN,Homo sapiens,6484,78255
CHEMBL2426,Casein kinase I isoform gamma-1,Q9HCP0,SINGLE PROTEIN,Homo sapiens,1776,2616
CHEMBL1075167,Homeodomain-interacting protein kinase 4,Q8NE63,SINGLE PROTEIN,Homo sapiens,1343,1819
CHEMBL2999,Serine/threonine-protein kinase PAK 3,O75914,SINGLE PROTEIN,Homo sapiens,944,1615
CHEMBL4954,Ephrin type-A receptor 3,P29320,SINGLE PROTEIN,Homo sapiens,1011,1690
CHEMBL2689,Macrophage-stimulating protein receptor,Q04912,SINGLE PROTEIN,Homo sapiens,1677,2505
CHEMBL4601,Protein-tyrosine kinase 6,Q13882,SINGLE PROTEIN,Homo sapiens,1878,2914
CHEMBL2637,Mitogen-activated protein kinase 10,P53779,SINGLE PROTEIN,Homo sapiens,3106,4553
CHEMBL3116,Cyclin-dependent kinase 9,P50750,SINGLE PROTEIN,Homo sapiens,2791,5434
CHEMBL4040,Mitogen-activated protein kinase 1,P28482,SINGLE PROTEIN,Homo sapiens,24506,38639
CHEMBL1862,Tyrosine-protein kinase ABL1,P00519,SINGLE PROTEIN,Homo sapiens,8245,25804
CHEMBL3961,Mitogen-activated protein kinase 11,Q15759,SINGLE PROTEIN,Homo sapiens,1843,2959
CHEMBL2842,Serine/threonine-protein kinase mTOR,P42345,SINGLE PROTEIN,Homo sapiens,10265,17574
CHEMBL262,Glycogen synthase kinase-3 beta,P49841,SINGLE PROTEIN,Homo sapiens,11278,24077
