ChEMBL ID,Name,Accessions,Type,Organism,Compounds,Activities
CHEMBL4237,Ribosomal protein S6 kinase alpha-5,O75582,SINGLE PROTEIN,Homo sapiens,2179,3575
CHEMBL4718,MAP kinase-interacting serine/threonine-protein kinase 1,Q9BUB5,SINGLE PROTEIN,Homo sapiens,2659,6193
CHEMBL5364,Serine/threonine-protein kinase NLK,Q9UBE8,SINGLE PROTEIN,Homo sapiens,746,1088
CHEMBL3861,"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 2, mitochondrial",Q15119,SINGLE PROTEIN,Homo sapiens,1123,2510
CHEMBL3886,Mitogen-activated protein kinase kinase kinase 20,Q9NYL2,SINGLE PROTEIN,Homo sapiens,1380,1635
CHEMBL5684,"Muscle, skeletal receptor tyrosine-protein kinase",O15146,SINGLE PROTEIN,Homo sapiens,963,1615
CHEMBL3981,Serine/threonine-protein kinase 10,O94804,SINGLE PROTEIN,Homo sapiens,1389,2295
CHEMBL5334,Non-receptor tyrosine-protein kinase TNK1,Q13470,SINGLE PROTEIN,Homo sapiens,999,1730
CHEMBL4766,"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial",Q15118,SINGLE PROTEIN,Homo sapiens,1886,2599
CHEMBL2595,Serine/threonine-protein kinase D3,O94806,SINGLE PROTEIN,Homo sapiens,1816,2454
CHEMBL4355,Cyclin-G-associated kinase,O14976,SINGLE PROTEIN,Homo sapiens,867,1295
CHEMBL3984,Membrane-associated tyrosine- and threonine-specific cdc2-inhibitory kinase,Q99640,SINGLE PROTEIN,Homo sapiens,660,1188
CHEMBL5122,Discoidin domain-containing receptor 2,Q16832,SINGLE PROTEIN,Homo sapiens,1493,2616
CHEMBL3983,Dual specificity protein kinase TTK,P33981,SINGLE PROTEIN,Homo sapiens,2582,5918
CHEMBL4226,Dual specificity protein kinase CLK3,P49761,SINGLE PROTEIN,Homo sapiens,2232,3114
CHEMBL5198,Mitogen-activated protein kinase 15,Q8TD08,SINGLE PROTEIN,Homo sapiens,656,860
CHEMBL3125,Ribosomal protein S6 kinase alpha-4,O75676,SINGLE PROTEIN,Homo sapiens,1210,2286
CHEMBL5491,Wee1-like protein kinase,P30291,SINGLE PROTEIN,Homo sapiens,1774,3605
CHEMBL1908389,Mitogen-activated protein kinase kinase kinase 12,Q12852,SINGLE PROTEIN,Homo sapiens,1241,2140
CHEMBL4630,Serine/threonine-protein kinase Chk1,O14757,SINGLE PROTEIN,Homo sapiens,5716,8971
CHEMBL4175,Megakaryocyte-associated tyrosine-protein kinase,P42679,SINGLE PROTEIN,Homo sapiens,775,834
CHEMBL4045,5'-AMP-activated protein kinase catalytic subunit alpha-1,Q13131,SINGLE PROTEIN,Homo sapiens,1940,2662
CHEMBL2007,Platelet-derived growth factor receptor alpha,P16234,SINGLE PROTEIN,Homo sapiens,2664,6670
CHEMBL4722,Aurora kinase A,O14965,SINGLE PROTEIN,Homo sapiens,8828,12415
CHEMBL3650,Fibroblast growth factor receptor 1,P11362,SINGLE PROTEIN,Homo sapiens,8315,21960
CHEMBL6166,Mitogen-activated protein kinase kinase kinase kinase 4,O95819,SINGLE PROTEIN,Homo sapiens,2660,5019
CHEMBL3797,Serine-protein kinase ATM,Q13315,SINGLE PROTEIN,Homo sapiens,4191,6858
CHEMBL5627,Leukocyte tyrosine kinase receptor,P29376,SINGLE PROTEIN,Homo sapiens,1127,1648
CHEMBL5719,Cyclin-dependent kinase 8,P49336,SINGLE PROTEIN,Homo sapiens,1311,1709
CHEMBL2276,Mitogen-activated protein kinase 8,P45983,SINGLE PROTEIN,Homo sapiens,4412,6105
CHEMBL5914,Mitogen-activated protein kinase kinase kinase 2,Q9Y2U5,SINGLE PROTEIN,Homo sapiens,554,731
CHEMBL2171,Dual specificity mitogen-activated protein kinase kinase 6,P52564,SINGLE PROTEIN,Homo sapiens,945,1462
CHEMBL2109,Dual specificity mitogen-activated protein kinase kinase 3,P46734,SINGLE PROTEIN,Homo sapiens,557,748
CHEMBL3938,Serine/threonine-protein kinase 16,O75716,SINGLE PROTEIN,Homo sapiens,786,1034
CHEMBL5483,Insulin receptor-related protein,P14616,SINGLE PROTEIN,Homo sapiens,996,1652
CHEMBL4708,Serine/threonine-protein kinase 3,Q13188,SINGLE PROTEIN,Homo sapiens,2424,4034
CHEMBL2431,RAC-beta serine/threonine-protein kinase,P31751,SINGLE PROTEIN,Homo sapiens,3418,5912
CHEMBL5024,Serine/threonine-protein kinase ATR,Q13535,SINGLE PROTEIN,Homo sapiens,2762,13907
CHEMBL2208,MAP kinase-activated protein kinase 2,P49137,SINGLE PROTEIN,Homo sapiens,3925,6114
CHEMBL4439,TGF-beta receptor type-1,P36897,SINGLE PROTEIN,Homo sapiens,3734,10681
CHEMBL308,Cyclin-dependent kinase 1,P06493,SINGLE PROTEIN,Homo sapiens,3348,4536
CHEMBL1955,Vascular endothelial growth factor receptor 3,P35916,SINGLE PROTEIN,Homo sapiens,2423,3443
CHEMBL3094,MAP kinase-activated protein kinase 5,Q8IW41,SINGLE PROTEIN,Homo sapiens,2089,3016
CHEMBL1075104,Leucine-rich repeat serine/threonine-protein kinase 2,Q5S007,SINGLE PROTEIN,Homo sapiens,5366,18142
CHEMBL2345,Ribosomal protein S6 kinase alpha-3,P51812,SINGLE PROTEIN,Homo sapiens,2943,4687
CHEMBL2349,"Phosphorylase b kinase gamma catalytic chain, liver/testis isoform",P15735,SINGLE PROTEIN,Homo sapiens,1599,2410
CHEMBL4224,Dual specificity protein kinase CLK1,P49759,SINGLE PROTEIN,Homo sapiens,2085,2913
