target_chembl_id,assay_chembl_id,confidence_score,assay_type
CHEMBL5638,CHEMBL1043879,8,B
CHEMBL5638,CHEMBL1043344,8,B
CHEMBL5638,CHEMBL1041156,8,B
CHEMBL5638,CHEMBL1050309,8,B
CHEMBL5638,CHEMBL1174940,8,B
CHEMBL5638,CHEMBL1646218,9,B
CHEMBL5638,CHEMBL1908422,8,B
CHEMBL5638,CHEMBL2174413,8,B
CHEMBL5638,CHEMBL2215434,8,B
CHEMBL5638,CHEMBL2219299,9,B
CHEMBL5638,CHEMBL2219300,9,B
CHEMBL5638,CHEMBL2349785,9,B
CHEMBL5638,CHEMBL3101262,9,B
CHEMBL5638,CHEMBL3241632,9,B
CHEMBL5638,CHEMBL3630736,9,B
CHEMBL5638,CHEMBL3748019,9,B
CHEMBL5638,CHEMBL3777726,9,B
CHEMBL5638,CHEMBL3817589,9,B
CHEMBL5638,CHEMBL4025270,9,B
CHEMBL5638,CHEMBL4044081,9,B
CHEMBL5638,CHEMBL4055061,9,B
CHEMBL5638,CHEMBL4157160,9,B
CHEMBL5638,CHEMBL4178318,9,B
CHEMBL5638,CHEMBL4185939,9,B
CHEMBL5638,CHEMBL4191081,9,B
CHEMBL5638,CHEMBL4230839,9,B
CHEMBL5638,CHEMBL4264428,9,B
CHEMBL5638,CHEMBL4307938,9,B
CHEMBL5638,CHEMBL4314573,9,B
CHEMBL5638,CHEMBL4327795,9,B
CHEMBL5638,CHEMBL4328159,9,B
CHEMBL5638,CHEMBL4328523,9,B
CHEMBL5638,CHEMBL4333524,9,B
CHEMBL5638,CHEMBL4335206,9,B
CHEMBL5638,CHEMBL4337030,9,B
CHEMBL5638,CHEMBL4351982,9,B
CHEMBL5638,CHEMBL4352465,9,B
CHEMBL5638,CHEMBL4358017,9,B
CHEMBL5638,CHEMBL4365855,9,B
CHEMBL5638,CHEMBL4366507,9,B
CHEMBL5638,CHEMBL4377740,9,B
CHEMBL5638,CHEMBL4378907,9,B
CHEMBL5638,CHEMBL4379252,9,B
CHEMBL5638,CHEMBL4382648,9,B
CHEMBL5638,CHEMBL4389367,9,B
CHEMBL5638,CHEMBL4389844,9,B
CHEMBL5638,CHEMBL4391470,9,B
CHEMBL5638,CHEMBL4405480,9,B
CHEMBL5638,CHEMBL4673034,9,B
CHEMBL5638,CHEMBL4674279,9,B
CHEMBL5638,CHEMBL4720630,9,B
CHEMBL5638,CHEMBL4720979,9,B
CHEMBL5638,CHEMBL4721449,9,B
CHEMBL5638,CHEMBL4766868,9,B
CHEMBL5638,CHEMBL4805052,9,B
CHEMBL5638,CHEMBL4805640,9,B
CHEMBL5638,CHEMBL4806098,9,B
CHEMBL5638,CHEMBL4806657,9,B
CHEMBL5638,CHEMBL4807625,9,B
CHEMBL5638,CHEMBL4807929,9,B
CHEMBL5638,CHEMBL4879843,9,B
CHEMBL5638,CHEMBL4880697,9,B
CHEMBL5638,CHEMBL4881159,9,B
CHEMBL5638,CHEMBL4884021,9,B
CHEMBL5638,CHEMBL4884412,9,B
CHEMBL5638,CHEMBL4884790,9,B
CHEMBL5638,CHEMBL4885081,9,B
